band_name,fans,formed,origin,style,split
P.L.F.,3,1999,USA,Grindcore,1999
Persephone's Dream,3,1993,USA,"Progressive rock,Progressive",-
Perzonal War,3,1996,Germany,"Power,Thrash",1996
Phantom Winter,3,2014,Germany,Sludge,-
Planks,3,2007,Germany,Blackened sludge,2007
Plateau Sigma,3,2010,Italy,Doom,-
Poison Sun,3,2010,Germany,Heavy,2010
Possession,3,2012,Belgium,"Black,Death",-
Posthum,3,2004,Norway,Progressive black,2004
Primal Rock Rebellion,3,2011,United Kingdom,"Heavy,Alternative",-
Profusion,3,2001,Italy,"Progressive,Fusion",2001
Prohod,3,2012,Romania,"Atmospheric black,Melodic black",-
Project Pain,3,2011,The Netherlands,Thrash,2011
Queiron,3,1995,Brazil,Brutal death,-
Quest Of Aidance,3,2004,Sweden,"Melodic death,Grindcore",2004
Ravager,3,1997,Mexico,Brutal death,2003
Reasons Behind,3,2010,Italy,Symphonic power,2010
Rendezvous Point,3,2010,Norway,Progressive,-
Resurrection Kings,3,2015,USA,Hard rock,2015
Revolted Masses,3,2008,Greece,"Progressive death,Thrash",-
Rippikoulu,3,1990,Finland,Death,1990
RoadkillSoda,3,2011,Romania,"Sludge,Stoner",-
Rosae Crucis,3,1990,Italy,Heavy,1990
Sadness,3,1989,Switzerland,"Death doom,Gothic doom",1998
Samothrace,3,2006,USA,"Doom,Stoner",2006
Sanctimony,3,1994,Latvia,"Death,Death ',N',Roll",-
Saturnalia Temple,3,2006,Sweden,"Doom,Stoner",2006
Sear,3,2001,Finland,"Black,Death",-
Season's End,3,1998,United Kingdom,Gothic,1998
Sektemtum,3,2009,France,Black,-
Self-Inflicted Violence,3,2007,United Kingdom,"Black,Post-rock",2007
Sengir,3,1995,Belgium,"Gothic,Death doom",2007
Sepia Dreamer,3,2003,Sweden,Progressive,2003
Septic Mind,3,2006,Russia,Funeral doom,-
Sethian,3,1998,Finland,"Hard rock,Suomi",1998
Sexcrement,3,2005,USA,Death,-
Shadow Host,3,1993,Russia,"Power,Thrash",1993
Shadowdances,3,1995,"Lithuania, United Kingdom","Doom,Melodic death",-
Sheavy,3,1993,Canada,"Doom,Stoner",1993
Shining Fury,3,2001,Italy,Power,-
Shturm,3,2003,Russia,"Black,Death",2003
Sideburn,3,1997,Sweden,Stoner,-
Silent Voices,3,1995,Finland,Progressive,1995
Sinister Realm,3,2008,USA,"Heavy,Doom",-
Skeletal Remains,3,2011,USA,Death,2011
Smallman,3,2001,Bulgaria,"Folk,Post-metal",-
Smargroth,3,2006,Slovenia,Black,2006
Sorathian Dawn,3,2009,Australia,"Black,Death",-
Sororicide,3,1990,Iceland,Death,1990
Sorrow Plagues,3,2014,United Kingdom,"Atmospheric black,Post-rock",-
Soul Takers,3,1998,Italy,Progressive,1998
Soulfractured,3,1999,USA,Progressive,2006
Spazmosity,3,1994,Sweden,"Black,Death",1994
Squealer,3,1986,Germany,"Heavy,Power,Thrash",-
Status Abnormis,3,2010,Finland,"Death,Thrash,Industrial",2010
Stigma,3,2000,Italy,Melodic deathcore,-
Stillborn (POL),3,1997,Poland,"Black,Death",1997
Stone Gods,3,2006,United Kingdom,"Hard rock,Heavy",-
Sulphur,3,1999,Norway,"Black,Death",1999
Sumerlands,3,2014,USA,"Heavy,Power",-
Svartelder,3,2015,Norway,Black,2015
Syrens Call,3,1997,France,"Progressive,Symphonic,Power",-
The Crown Of Yamhad,3,2015,Syria,"Atmospheric folk,Symphonic",2015
The Deathtrip,3,2007,Norway,Black,-
The Enochian,3,2007,Greece,Melodic black,2007
The Lumberjack Feedback,3,2008,France,"Doom,Sludge",-
The Order Of Israfel,3,2012,Sweden,Doom,2012
The Ox,3,2012,Spain,Progressive,-
The Seven Gates,3,2005,France,Death,2005
The Skull,3,2012,USA,Doom,-
The Undivine,3,2005,Finland,"Death,Thrash",2005
The Weakening,3,2007,Sweden,"Melodic death,Djent",-
Thornafire,3,1998,Chile,Death,1998
Thought Machine,3,2009,Italy,Industrial,-
Throneum,3,1996,Poland,"Death,Black",1996
Thunderbolt,3,2000,Norway,Heavy,-
Thy Final Pain,3,2007,Germany,Death,2007
Thy Flesh Consumed,3,2001,Canada,Death,2010
Thy Primordial,3,1994,Sweden,Black,1994
Today I Caught The Plague,3,2007,Canada,"Progressive metalcore,Progressive",2013
Tonic Breed,3,2006,Norway,Groove thrash,2006
Torrens Conscientium,3,2009,Ukraine,Funeral doom,-
Total Fucking Destruction,3,1999,USA,Grindcore,1999
Total Negation,3,2007,Germany,Black,-
Totalt Jävla Mörker,3,1996,Sweden,"Blackened hardcore,Crust,Punk",1996
Transient,3,2008,USA,Grindcore,-
Triton Enigma,3,2005,Sweden,"Melodic death,Thrash",2005
Tsar Bomba,3,2011,France,Stoner,-
Tungsten,3,2011,USA,"Progressive rock,Progressive",2011
Unsilence,3,1993,United Kingdom,Doom,-
Uroboros,3,2012,Argentina,"Death,Sludge",2012
Urskumug,3,2001,Latvia,Black,-
Vaee Solis,3,2014,Portugal,Blackened doom,2014
Valborg,3,2002,Germany,"Progressive doom,Death",-
Valhall,3,1987,Norway,"Black,Doom",1987
Valhalla,3,1997,Spain,"Heavy,Power",2010
Vandroya,3,2001,Brazil,Progressive power,2001
Vanisher,3,2010,USA,Metalcore,-
Venomous Maximus,3,2010,USA,"Doom,Heavy",2010
Vermiform,3,2010,USA,Death,-
Verminous,3,2002,Sweden,Death,2002
Vinterblot,3,2008,Italy,Melodic death,-
Virus IV,3,2006,Belgium,"Progressive power,Progressive heavy",2006
Viuda Negra,3,1996,Ecuador,Progressive,2010
Voice Of The Soul,3,2007,UAE,Death,2007
Vorkreist,3,1999,France,"Black,Death",-
Vulcain,3,1981,France,Heavy,1981
Waken Eyes,3,2013,Canada,"Progressive rock,Progressive",-
Walk Through Fire,3,2008,Sweden,"Sludge,Doom",2008
War,3,1995,Sweden,Black,2001
Warhorse,3,1996,USA,"Doom,Stoner",1996
We All Die (Laughing),3,2013,France,"Avantgarde,Progressive",-
Whales And Aurora,3,2008,Italy,Atmospheric sludge,2008
Wijlen Wij,3,2002,Belgium,Funeral doom,2014
WildeStarr,3,2003,USA,Heavy,2003
Wintersoul,3,2006,United Kingdom,Black,-
Witheria,3,1999,Finland,Thrash,1999
Wooden Stake,3,2010,USA,Death doom,-
Wormwood,3,2014,Sweden,Atmospheric black,2014
Wotan,3,1988,Italy,Heavy,-
WRVTH,3,2007,USA,"Technical death,Deathcore,Post-metal,Hardcore",2007
X Wild,3,1992,Germany,Heavy,1996
XXX Maniak,3,2003,USA,Grindcore,2003
Yaotl Mictlan,3,1998,"Mexico, USA","Black,Folk",-
Zealotry,3,2005,USA,Death,2005
ZX Spectrum,3,2001,Latvia,"Death ',N',Roll",-
???????,2,2011,Japan,Black,2011
ÆGES,2,2010,USA,Alternative,-
Ænimus (SWE),2,2009,Sweden,"Heavy,Power",2009
Ö-Nirik,2,2006,France,"Melodic death,Brutal death",-
2 Wolves,2,2010,Finland,"Industrial,Symphonic",2010
A Canorous Quintet,2,1993,Sweden,Melodic death,1999
Aabsynthum,2,2004,Romania,"Black,Funeral doom",2004
Abramis Brama,2,1997,Sweden,Stoner,-
Abscession,2,2009,Sweden,Death,2009
Abstracter,2,2010,USA,"Black,Doom,Sludge,Crust,Punk",-
Abyssaria,2,1998,Germany,"Black,Gothic",1998
Aclla,2,2007,Brazil,Heavy,-
Adaliah,2,2008,USA,"Deathcore,Melodic hardcore",2008
Admiral Sir Cloudesley Shovell,2,2008,United Kingdom,Psychedelic hard rock,-
Aftershok,2,1996,USA,Heavy,1996
Agro,2,1994,South Africa,"Power,Thrash",-
Ahamkara,2,2013,United Kingdom,Atmospheric black,2013
Aion,2,2013,Switzerland,Black,-
Altars,2,2005,Australia,Death,2005
Amnis Nihili,2,2008,Greece,Black,-
Anal Blasphemy,2,2002,Finland,Black,2002
Ancestors Revenge,2,2008,Canada,Death,-
ANJ,2,2003,Russia,"Alternative,Hard rock",2003
Antropophobia,2,2009,Russia,"Atmospheric black,Doom",-
Apothecary,2,2012,USA,Death doom,2012
AraPacis,2,2003,Canada,"Progressive,Doom,Hard rock",-
Arctic Winter,2,1989,Germany,"Power,Heavy",1989
Arkhe,2,1995,Mexico,Technical death,-
Arms,2,2012,USA,"Math,Grindcore",2012
Asguard,2,1996,Belarus,Melodic death,-
Ass To Mouth,2,2004,Poland,"Brutal death,Grindcore",2004
Athelstan,2,2010,United Kingdom,Folk,-
Atrium Noctis,2,2002,Germany,Melodic black,2002
Aus Der Transzendenz,2,2009,Austria,Black,-
Axevyper,2,2009,Italy,Heavy,2009
Axewitch,2,1979,Sweden,Heavy,-
Azoic,2,2011,Iceland,Black,2011
Azure Agony,2,2006,Italy,Progressive,-
Barús,2,2015,France,Progressive death,2015
Barghest,2,2006,USA,Black,-
Beaten To Death,2,2010,Norway,Grindcore,2010
Beholder (ITA),2,1998,Italy,Melodic heavy,2005
Belfegor,2,1998,Poland,Black,1998
Bellfast,2,1993,Japan,Celtic folk,-
Beorn,2,2008,Russia,"Power,Symphonic",2008
Bill Ward,2,1989,United Kingdom,Hard rock,-
Birds Of Prey,2,2006,USA,"Sludge,Death",2006
Birth Through Gore,2,2007,Greece,Brutal death,-
Black Knight Symfonia,2,2008,Monaco,"Gothic,Symphonic,Power",2008
Blackfinger,2,2012,USA,Doom,-
Blackwater,2,2011,USA,"Heavy,Doom",2011
Blackwood,2,2015,Italy,"Drone doom,Industrial",-
Blood Revolt,2,2010,Canada,"Black,Death",2010
Blood Stained Dusk,2,1998,USA,Black,-
Boomerang,2,1996,Germany,"Heavy,Power",1996
Camel Of Doom,2,2001,United Kingdom,"Doom,Stoner",-
Cap De Craniu,2,2007,Romania,"Death,Grindcore",2007
Cardinals Folly,2,2007,Finland,Doom,-
Carn Dûm,2,2012,Germany,Black,2012
Carnal Lust,2,1998,France,Brutal death,-
Carpatica,2,2009,Romania,"Pagan black,Folk",2009
Catarsis Incarne,2,2002,Costa Rica,Death,-
Cavus,2,2008,Finland,Black,2008
Chaos Magic,2,2015,Chile,"Symphonic,Gothic",-
Chaosfear,2,1999,Brazil,Thrash,1999
Chariot,2,1981,United Kingdom,"New wave of british heavy,Heavy",-
Chariots Of The Gods,2,2007,Canada,"Melodic death,Metalcore",2007
Christgrinder,2,2009,United Kingdom,"Black,Death",-
Cloud Rat,2,2010,USA,Grindcore,2010
Coliseum,2,2003,USA,"Hardcore,Post-,Hardcore,Punk",-
Colombian Necktie,2,2010,USA,"Sludge,Alternative",2010
Common Grave,2,1999,Italy,"Brutal death,Black",-
Communion Of Thieves,2,2010,USA,"Black,Grindcore",2010
Coprolith,2,2001,Finland,"Death,Black",-
Coven 13,2,1985,USA,Doom,1985
Crehated,2,2005,Italy,"Death,Thrash",-
Cretura,2,2010,Norway,Extreme symphonic,2010
Crimson Sun,2,2001,Finland,Symphonic,-
Crom Dubh,2,2003,United Kingdom,Black,2003
Crossbreed,2,1996,USA,Industrial,-
Cryptal Darkness,2,1993,Australia,"Gothic doom,Death doom",1993
Cryptic Warning,2,2000,USA,"Technical death,Thrash",2006
Dahakara,2,2013,Turkey,"Ambient,Experimental black",2013
Dakesis,2,2008,United Kingdom,Progressive power,-
Dark Arena,2,2004,USA,"Power,Progressive,Thrash",2004
Dead In The Dirt,2,2008,USA,Grindcore,2014
Dead Infection,2,1990,Poland,Deathgrind,1990
Dead River Runs Dry,2,2012,Australia,Black,-
Deadlands,2,2010,USA,Us power,2010
Deadly Mosh,2,2008,Serbia,Thrash,-
Deafening Silence,2,1997,France,Heavy,1997
Death Of Self,2,2008,USA,Grindcore,2012
Death Penalty,2,2013,,"Doom,Heavy",2013
Death Toll 80k,2,2005,Finland,Grindcore,-
Deathrite,2,2010,Germany,Grindcore,2010
Defender,2,1984,The Netherlands,"Power,Thrash",-
Desolate Pathway,2,2013,United Kingdom,Epic doom,2013
Despair (SYR),2,2009,Syria,Black,-
Desperado,2,1988,USA,Heavy,1988
Despond,2,1995,France,Doom,2004
Deuil,2,2012,Belgium,"Black,Doom,Sludge",2012
Deus X Machina,2,2012,Argentina,"Progressive,Power",-
Di'Anno,2,1983,United Kingdom,"Hard rock,Heavy",1983
Dialectic Soul,2,2000,Belarus,"Symphonic black,Progressive",-
Dictator,2,2005,Cyprus,"Black,Funeral doom,Dark,Ambient",2005
Dissension,2,2007,Canada,"Melodic death,Melodic black",-
Distaste,2,2000,Austria,Grindcore,2000
Doctor Livingstone,2,1998,France,"Hardcore,Black,Punk",-
Doga,2,1989,Czech Republic,"Thrash,Heavy",1989
Doyle,2,2012,USA,"Groove metal ,Hardcore",-
Dr.X,2,2013,Spain,Heavy,2013
Dramatvm,2,2003,Mexico,"Melodic death,Gothic",-
Dreamlost,2,1996,France,Progressive,1996
Dysrider,2,2014,Switzerland,Symphonic,-
Dysylumn,2,2010,France,"Progressive black,Death",2010
E-Force,2,2001,"Canada, France",Thrash,-
Ebonillumini,2,2008,United Kingdom,Avantgarde black,2008
Edgedown,2,2008,Germany,Heavy,-
Eeriness,2,1996,Switzerland,"Heavy,Gothic",1996
Ehnahre,2,2006,USA,"Black,Death,Doom",-
Eibon la Furies,2,2005,United Kingdom,"Gothic,Avantgarde black",2005
Elvira Madigan,2,1995,Sweden,Symphonic black,2008
Empires Of Eden,2,2008,Australia,Melodic power,2008
Encorion,2,2007,The Netherlands,Viking folk,-
Entheos (CAN),2,2011,Canada,Black,2011
Epistasis,2,2008,USA,Experimental black,-
Eternal Reign,2,1997,Germany,Power,1997
Eternal Sorrow,2,1994,Brazil,Gothic doom,-
Ethernity,2,2000,Belgium,Progressive power,2000
Exhausted Prayer,2,1997,USA,"Progressive black,Progressive death",-
Exiled,2,1997,USA,"Power,Speed,Thrash",1997
Felony,2,1992,Switzerland,Melodic heavy,-
Filii Nigrantium Infernalium,2,1989,Portugal,"Black,Thrash",1989
Final Crusade,2,2011,Switzerland,Heavy,-
Forces United,2,2013,Russia,Power,2013
Fornicus,2,2013,USA,Black,-
Foul Body Autopsy,2,2010,United Kingdom,Death,2010
Freitod,2,2005,Germany,Black,-
Frightmare,2,2002,USA,"Death,Thrash,Grindcore",2002
Frozen Winds,2,2007,Cyprus,Black,-
Funeral Whore,2,2006,The Netherlands,Death,2006
Gateway To Selfdestruction,2,2013,Germany,Black,-
Gehennah,2,1992,Sweden,Thrash,1992
Genocide Shrines,2,2011,Sri Lanka,"Black,Death",-
Ghee-Yeh,2,2008,Chile,Heavy,2008
Ghost Voyage,2,2008,Finland,Death doom,-
Goblin Hovel,2,2010,USA,Folk,2010
God Mother,2,2012,Sweden,Grindcore,-
Gone Postal,2,2007,Iceland,Death,2007
Goodbye To Gravity,2,2011,Romania,Melodic metalcore,2015
Gothic Knights,2,1990,USA,Power,1990
Grave Upheaval,2,2008,Australia,Death,-
Gravehill,2,2001,USA,"Thrash,Death",2001
Griffar,2,1997,France,Melodic black,-
Gverr,2,2007,Albania,"Progressive death,Death,Thrash",2007
Gypsyhawk,2,2008,USA,Heavy,2015
Hæthen,2,2009,USA,Black,2009
Haar,2,2008,United Kingdom,"Atmospheric black,Progressive black",-
Hadean,2,2012,USA,"Progressive,Hardcore,Jazz fusion",2012
Haikai No Ku,2,2012,United Kingdom,"Doom,Stoner",-
Heavydeath,2,2013,Sweden,Death doom,2013
Hegemone,2,2010,Poland,"Black,Post-metal,Sludge",-
Hell Within,2,1998,USA,Metalcore,1998
Hemelbestormer,2,2012,Belgium,Post-metal,-
Herald,2,2000,Estonia,Heavy,2000
Hourswill,2,2009,Portugal,Progressive,-
House Of Low Culture,2,2000,USA,"Drone doom,Ambient,Experimental",2000
Howling Syn,2,1998,Canada,Gothic,-
Human Cull,2,2007,United Kingdom,Grindcore,2007
Hydra Vein,2,1987,United Kingdom,Thrash,1990
I Chaos,2,2009,The Netherlands,Brutal death,2009
Iluminato,2,2010,Brazil,Gothic,-
Implore,2,2013,Germany,Grindcore,2013
Inciter,2,2000,Croatia,Thrash,-
Infinitum Obscure,2,2000,Mexico,Death,2000
Insane,2,1997,France,"Power,Thrash",-
Iskra,2,2002,Canada,"Black,Crust,Punk",2002
Johansson & Speckmann,2,2013,Sweden,Death,-
Karmaflow,2,2013,The Netherlands,Symphonic,2013
Karyn Crisis' Gospel Of The Witches,2,2009,USA,"Doom,Gothic",-
Khaotika,2,2014,USA,"Melodic black,Gothic",2014
Killers (UK),2,1991,United Kingdom,Heavy,2003
King Fear,2,2011,Germany,Black,2011
King's-Evil,2,1989,Japan,Thrash,-
Kingdragon,2,2006,Greece,"Melodic heavy,Hard rock",2006
Kognitiv Tod,2,2014,USA,Black,-
Kolp,2,2007,Hungary,"Black,Doom",2007
Korum,2,1999,France,Death,-
Kragens,2,2000,France,"Heavy,Power,Thrash",2000
Krokmitën,2,1991,Canada,Experimental death,-
Krokodil,2,2011,United Kingdom,Progressive sludge,2011
Kultika,2,2008,Romania,"Black,Post-metal",-
Landskap,2,2012,United Kingdom,"Doom,Psychedelic rock",2012
Last In Line,2,2012,USA,"Heavy,Hard rock",-
Legend (JE),2,1980,Jersey,"New,Wave,Of british heavy,Heavy",1980
Liquorworks,2,2006,Finland,Experimental progressive,-
Lody Kong,2,2011,USA,"Crossover thrash,Hardcore,Punk",2011
Lonely Kamel,2,2005,Norway,Stoner rock,-
Looking For An Answer,2,1999,Spain,Grindcore,1999
Lunar Path,2,2006,Finland,Gothic,-
Lunarium,2,2005,USA,Folk,2005
Malrun,2,2005,Denmark,Melodic hard rock,-
Man Made Origin,2,2008,United Kingdom,Progressive,2008
Maniac Butcher,2,1992,Czech Republic,Black,-
Marche Funèbre,2,2007,Belgium,"Death,Doom",2007
Marseille,2,1976,United Kingdom,"New wave of british heavy,Heavy",-
Mastermind,2,1986,USA,"Progressive rock,Symphonic rock,Fusion ,Progressive,Instrumental",1986
Masterstroke,2,2002,Finland,Heavy,-
Means End,2,2011,Sweden,Progressive,2011
Mena Brinno,2,2006,USA,"Gothic,Symphonic",-
Mephistopheles,2,2004,Australia,Technical death,2004
Merkabah,2,2002,Canada,Heavy,-
Methadone Skies,2,2009,Romania,"Atmospheric sludge,Stoner,Psychedelic rock",2009
Moon (POL),2,1996,Poland,"Black,Death",-
Mordbrand,2,2006,Sweden,Death,2006
Morgain,2,1995,Slovak Republic,"Atmospheric doom,Folk",2015
Morian,2,2002,Finland,"Gothic,Heavy",2002
Myopia,2,2003,USA,Progressive,2011
Myrah,2,2005,Sweden,Gothic,2005
Mysto Dysto,2,1983,The Netherlands,"Speed,Thrash",1987
N R C S S S T,2,2011,"Lithuania, Germany","Atmospheric black,Post-metal,Shoegaze",2011
N.I.L.,2,2004,USA,"Black,Doom",-
Naamah,2,1996,Poland,"Gothic,Progressive",1996
Nailed,2,2000,United Kingdom,Brutal death,-
Nasty Idols,2,1987,Sweden,"Heavy,Glam,Glam rock",1987
Natron,2,1992,Italy,Death,-
Nebukadnezza,2,2002,United Kingdom,"Death,Thrash,Hardcore",2002
Necromancing The Stone,2,2014,USA,Melodic death,-
Nerve End,2,2009,Finland,"Alternative,Progressive",2009
Next To None,2,2013,USA,Progressive,-
Night Viper,2,2014,Sweden,Heavy,2014
Nightly Gale,2,1996,Poland,"Black,Doom",-
Noctum,2,2009,Sweden,"Doom,Heavy,Hard rock",2009
Non Serviam,2,1995,Sweden,Death,-
North (USA),2,2005,USA,"Post-metal,Sludge",2005
Northern Plague,2,2009,Poland,"Black,Death",-
NunFuckRitual,2,2006,Norway,Black,2006
Nycticorax,2,2003,Latvia,Black,-
Oblivionized,2,2008,United Kingdom,"Technical death,Grindcore",2008
Obsidian Sea,2,2009,Bulgaria,Doom,-
Ocultan,2,1994,Brazil,Black,1994
Odyssey,2,1989,Spain,Progressive,-
Ogre,2,1999,USA,"Doom,Hard rock",1999
Oleg Izotov,2,2003,Russia,"Alternative,Instrumental heavy",-
One Step Beyond,2,1997,Australia,Experimental death,1997
Onirism,2,2014,France,Symphonic black,-
Op?a Opasnost,2,1992,Croatia,Hard rock,1992
Orchid's Curse,2,2005,Canada,Metalcore,-
Ordinul Negru,2,2004,Romania,Black,2004
Oxiplegatz,2,1993,Sweden,Avantgarde,1998
Pain Principle,2,1993,USA,"Thrash,Death",1993
Paragon Of Beauty,2,1994,Germany,Gothic,2001
Paramnesia,2,2005,France,Black,2005
Phantom,2,2005,Denmark,Black,-
Protean,2,2013,Latvia,Black,2013
Psudoku,2,2010,Norway,"Avantgarde,Grindcore",-
Pure Inc,2,2001,Switzerland,"Hard rock,Alternative",2001
Pyrrhon,2,2008,USA,Technical death,-
Quinta Essentia,2,2004,USA,"Black,Death",2004
Reality Grey,2,2004,Italy,Melodic death,-
Realmbuilder,2,2008,USA,"Epic doom,Heavy",2008
Resurrecturis,2,1990,Italy,Death,-
Retriem,2,2003,Russia,Power,2003
Rev 16:8,2,2008,Sweden,Black,2012
Revelation's Hammer,2,2007,Norway,Black,2007
Romuvos,2,2014,Lithuania,Folk,-
Rudhira,2,2010,Norway,Progressive,2010
Sabachthani,2,2002,Sweden,"Gothic,Doom",-
Sadistic Gore,2,2004,Brazil,Death,2004
Sandalinas,2,2001,Spain,Melodic progressive,-
Santo Rostro,2,2013,Spain,"Doom,Stoner",2013
Saracen,2,1976,United Kingdom,"New wave of british heavy,Heavy,Progressive",-
Sarcofagus,2,1977,Finland,Progressive heavy,1977
Sargatanas Reign,2,1997,Sweden,Death,2008
Scald (RUS),2,1993,Russia,Epic doom,1993
Scar Of The Sun,2,2004,"United Kingdom, Greece",Gothic doom,-
Scarblade,2,2015,"Greece, Sweden",Heavy,2015
Sea Witch,2,2014,Canada,"Blackened doom,Sludge",-
Seamount,2,2007,Germany,Doom,2007
Sectu,2,2005,Sweden,Death,-
Sedna,2,2009,Italy,"Black,Sludge",2009
Seita,2,2007,The Netherlands,"Death,Thrash",-
Septic Death,2,1981,USA,Hardcore,1981
Serpent Omega,2,2011,Sweden,"Doom,Sludge",-
Serpent Venom,2,2008,United Kingdom,Doom,2008
Severed,2,2014,Iceland,"Brutal death,Technical death",-
Shadow Of The Colossus,2,2009,USA,Deathcore,2009
Shallow Rivers,2,2007,Russia,"Death doom,Atmospheric doom",-
Shaman (FIN),2,1997,Finland,Folk,1997
Shannon,2,1998,France,"Hard rock,Heavy",-
Shatterpoint,2,2001,Canada,"Power,Thrash",2001
Shredding The Envelope,2,2008,USA,"Heavy,Thrash",-
Silent Memorial,2,1992,Switzerland,"Heavy,Progressive",1992
Siren,2,2012,USA,"Black,Doom,Heavy",-
Sirocco,2,2003,Ireland,"Heavy,Folk,Thrash",2003
Skraeckoedlan,2,2009,Sweden,Psychedelic stoner,-
Slabdragger,2,2008,United Kingdom,"Doom,Sludge",2008
Slidhr,2,2005,Ireland,Black,-
Slivers Cross,2,2008,Latvia,"Metalcore,Alternative",2008
Slow,2,2007,Belgium,"Atmospheric doom,Funeral doom",-
Solifvgae,2,2014,Brazil,"Atmospheric black,Post-metal",2014
Sonic Reign,2,1997,Germany,Black,-
Sorrowful,2,2009,Sweden,Death doom,2009
Sorrowful Angels,2,1999,Greece,Gothic,-
Soul Dissolution,2,2012,Belgium,Black,2012
Soulless,2,1997,USA,"Melodic death,Thrash",-
Sourvein,2,1993,USA,"Doom,Sludge",1993
Spaceking,2,2009,Russia,"Progressive,Progressive rock,Stoner rock,Stonerinstrumental",-
Spartan Warrior,2,1980,United Kingdom,"New wave of british heavy,Heavy",1980
Splattered Mermaids,2,2005,Sweden,"Brutal death,Grindcore",2015
Srogo??,2,2013,Poland,Black,2013
Standing Ovation,2,2006,Finland,Progressive,-
Station Dysthymia,2,2007,Russia,Funeral doom,2007
T?zmadár,2,1999,Hungary,Power,-
Tanagra,2,2010,USA,"Us power,Heavy",2010
Tempestuous Fall,2,2011,Australia,"Funeral doom,Death doom",2013
Temple Of Evil,2,2008,Cyprus,Black,2008
Terror Empire,2,2009,Portugal,Groove thrash,-
Tesa,2,2005,Latvia,"Post-metal,Sludge,Hardcore",2005
The Arson Project,2,2005,Sweden,Grindcore,-
The Batallion,2,2006,Norway,Thrash,2006
The Belonging,2,1998,United Kingdom,Blackened death,-
The Doomsday Kingdom,2,2016,Sweden,Doom,2016
The Earls Of Mars,2,2012,United Kingdom,Avantgarde,-
The Everdawn,2,1993,Sweden,Melodic death,1993
The Experiment No.Q,2,2012,Italy,Progressive,-
The Night Flight Orchestra,2,2007,Sweden,Hard rock,2007
The Oracle,2,2006,Canada,Extreme progressive,2011
The Order Of Chaos,2,2003,Canada,"Heavy,Power,Thrash",2003
The Silent Wedding,2,2006,Greece,Heavy,-
The Wakedead Gathering,2,2007,USA,Death,2007
Theories,2,2010,USA,Deathgrind,-
Those Who Bring The Torture,2,2007,Sweden,"Death,Grindcore",2007
Throes Of Sanity,2,-,USA,Us power,-
Titaan,2,2015,Italy,Black,2015
Tribune,2,2004,Canada,"Melodic thrash,Progressive",-
Trimonium,2,1998,Germany,Pagan black,1998
Triumfall,2,2006,Serbia,Black,-
Trophallaxy,2,2007,Swaziland,"Power,Symphonic",2007
Unchained,2,1998,Sweden,Heavy,2006
Unholy Matrimony,2,2000,Switzerland,Black,2000
Unwritten Pages,2,2005,The Netherlands,Progressive,-
Urban Tales,2,2005,Portugal,"Gothic rock,Alternative",2005
Usurpress,2,2010,Sweden,Death,-
Vôdûn,2,2012,United Kingdom,"Stoner,Psychedelic rock",2012
Vaalnor,2,2009,Switzerland,Folk,-
Valkenrag,2,2006,Poland,Melodic death,2006
Vardis,2,1973,United Kingdom,"New wave of british heavy,Heavy",-
Venin Noir,2,2001,Brazil,Gothic,2001
Vermilion,2,2008,Romania,Experimental black,2015
VII Gates,2,1999,Sweden,"Heavy,Progressive power",1999
Villainy,2,2010,The Netherlands,"Blackened thrash,Crust,Punk",-
Vise Versa,2,2012,France,Alternative,2012
Vista Chino,2,2010,USA,Stoner rock,2014
Vitriol,2,2007,Italy,Progressive,2007
Void Of Sleep,2,2010,Italy,Sludge,-
Vomitile,2,2007,Cyprus,"Death,Thrash",2007
Vox Tempus,2,2003,USA,Progressive,-
Wells Valley,2,2011,Portugal,"Progressive sludge,Post-metal",2011
When Woods Make Graves,2,2011,United Kingdom,Atmospheric black,-
Whitehorse,2,2004,Australia,"Drone doom,Sludge",2004
Wilt,2,2010,Canada,Atmospheric black,-
Winds Of Torment,2,2001,France,Melodic death,2001
Witchbound,2,2013,Germany,"Melodic power,Heavy",-
Within The Fall,2,2010,Sweden,Death doom,2010
WIZ,2,1996,Sweden,Power,-
Woburn House,2,2005,Germany,Post-metal,2005
Wolvserpent,2,2005,USA,Drone doom,-
Woods Of Belial,2,1995,Finland,"Black,Funeral doom,Industrial doom,Doom",1995
Worth Dying For,2,2002,Canada,"Progressive death,Melodic death",-
Yawarhiem,2,2005,Peru,"Symphonic power,Folk",2005
Yogth Sothoth,2,2003,Colombia,Brutal death,-
Zavorash,2,1996,Sweden,Black,1996
11Paranoias,1,2011,United Kingdom,"Doom,Sludge",-
48 Crash,1,1975,Germany,"Progressive rock,Heavy",1975
7 H. Target,1,2005,Russia,Brutal death,-
A Gruesome Find,1,1998,USA,Blackened death,1998
A New Dawn,1,1997,The Netherlands,"Gothic,Symphonic",-
Abhorrent,1,2007,USA,"Brutal death,Technical death",2007
Absconditus,1,2010,France,Black,-
Acrosome,1,2009,Turkey,"Depressive black,Dark ambient",2009
Adagio (BRA),1,1995,Brazil,Death doom,-
Aeon Throne,1,2010,Norway,"Black,Death",2010
Against Nature,1,2004,USA,"Doom,Hard rock,Progressive rock",-
Against Tolerance,1,2009,Brazil,"Metalcore,Experimental thrash",2009
Age Of Woe,1,2010,Sweden,"Death,Crust,Punk",-
Airdash,1,1986,Finland,Thrash,1986
Akem Manah,1,2007,Belgium,"Death,Doom",-
